Amphisbaena,alba,AMPALB,Unique names generated:
Diploglossus,fasciatus,DIPFAS,79 of 79
Anilius,scytale,ANISCY
Boa,constrictor,BOACON
Corallus,batessi,CORBAT
Corallus,hortulanus,CORHOR
Epicrates,cenchria,EPICEN
Platemys,platycephala,PLAPLA
Chironius,fuscus,CHIFUS
Chironius,multiventris,CHIMUL
Chironius,scurrulus,CHISCU
Dendrophidion,dendrophis,DENDEN
Drymarchon,corais,DRYCOR
Drymobius,rhombifer,DRYRHO
Drymoluber,dichrous,DRYDIC
Leptophis,ahaetulla,LEPAHA
Phrynonax,polylepis,PHRPOL
Pseudoboa,coronata,PSECOR
Rhinobothryum,lentiginosum,RHILEN
Spilotes,pullatus,SPIPUL
Tantilla,melanocephala,TANMEL
Xenodon,severus,XENSEV
Anolis,fuscoauratus,ANOFUS
Anolis,tandai,ANOTAN
Anolis,ortonii,ANOORT
Anolis,punctatus,ANOPUN
Anolis,scypheus,ANOSCY
Apostolepis,nigroterminata,APONIG
Atractus,major,ATRMAJ
Atractus,snethlageae,ATRSNE
Clelia,clelia,CLECLE
Dipsas,catesbyi,DIPCAT
Dipsas,indica,DIPIND
Drepanoides,anomalus,DREANO
Erythrolamprus,taeniogaster,ERYTAE
Helicops,angulatus,HELANG
Helicops,leopardinus,HELLEO
Helicops,polylepis,HELPOL
Helicops,sp.,HELSP.
Imantodes,cenchoa,IMACEN
Imantodes,lentiferus,IMALEN
Leptodeira,annulata,LEPANN
Liophis,reginae,LIOREG
Oxyrhopus,melanogenys,OXYMEL
Oxyrhopus,petola,OXYPET
Philodryas,georgeboulengeri,PHIGEO
Siphlophis,cervinus,SIPCER
Siphlophis,compressus,SIPCOM
Xenopholis,scalaris,XENSCA
Xenoxybelis,boulengeri,XENBOU
Micrurus,annelatus,MICANN
Micrurus,lemniscatus,MICLEM
Micrurus,obscurus,MICOBS
Micrurus,surinamensis,MICSUR
Alopoglossus,angulatus,ALOANG
Bachia,dorbignyi,BACDOR
Cercosaura,eigenmanni,CEREIG
Cercosaura,ocellata,CEROCE
Iphisa,elegans,IPHELE
Potamites,ecpleopus,POTECP
Enyalioides,palpebralis,ENYPAL
Polychrus,liogaster,POLLIO
Varzea,altamazonica,VARALT
Gonatodes,hasemani,GONHAS
Gonatodes,humeralis,GONHUM
Pseudogonatodes,guianensis,PSEGUI
Thecadactylus,solimoensis,THESOL
Kentropyx,pelviceps,KENPEL
Ameiva,ameiva,AMEAME
Kentropyx,altamazonica,KENALT
Tupinambis,cuscoensis,TUPCUS
Plica,plica,PLIPLI
plica,umbra,PLIUMB
Stenocercus,fimbriatus,STEFIM
Stenocercus,roseiventris,STEROS
Typhlops,reticulatus,TYPRET
Bothrops,atrox,BOTATR
Bothropsis,bilineata,BOTBIL
Lachesis,muta,LACMUT
